DATE,TITLE,ARTIST,WKS,YEAR
03/01/2015,UPTOWN FUNK,MARK RONSON FT. BRUNO MARS,6,2015
14/02/2015,LOVE ME LIKE YOU DO,ELLIE GOULDING,4,2015
14/03/2015,KING,YEARS & YEARS,1,2015
21/03/2015,LAY ME DOWN,SAM SMITH FT. JOHN LEGEND,2,2015
04/04/2015,HOLD MY HAND,JESS GLYNNE,3,2015
25/04/2015,SEE YOU AGAIN,WIZ KHALIFA FT. CHARLIE PUTH,2,2015
09/05/2015,CHEERLEADER (FELIX JAEHN REMIX),OMI,4,2015
06/06/2015,WANT TO WANT ME,JASON DERULO,4,2015
04/07/2015,NOT LETTING GO,TINIE TEMPAH FT. JESS GLYNNE,1,2015
09/07/2015,ARE YOU WITH ME,LOST FREQUENCIES,1,2015
16/07/2015,HOUSE EVERY WEEKEND,DAVID ZOWIE,1,2015
23/07/2015,BLACK MAGIC,LITTLE MIX,3,2015
13/08/2015,DRAG ME DOWN,ONE DIRECTION,1,2015
20/08/2015,MARVIN GAYE,CHARLIE PUTH FT. MEGHAN TRAINOR,1,2015
27/08/2015,DON'T BE SO HARD ON YOURSELF,JESS GLYNNE,1,2015
03/09/2015,FIGHT SONG,RACHEL PLATTEN,1,2015
10/09/2015,WHAT DO YOU MEAN?,JUSTIN BIEBER,1,2015
17/09/2015,EASY LOVE,SIGALA,1,2015
24/09/2015,WHAT DO YOU MEAN?,JUSTIN BIEBER,2,2015
08/10/2015,WRITING'S ON THE WALL,SAM SMITH,1,2015
15/10/2015,WHAT DO YOU MEAN,JUSTIN BIEBER,2,2015
29/10/2015,TURN THE MUSIC LOUDER (RUMBLE),KDA FT. TINIE TEMPAH & KATY B,1,2015
19/11/2015,HELLO,ADELE,3,2015
26/11/2015,SORRY,JUSTIN BIEBER,2,2015
10/12/2015,LOVE YOURSELF,JUSTIN BIEBER,3,2015
31/12/2015,A BRIDGE OVER YOU,THE LEWISHAM & GREENWICH NHS CHOIR,1,2015
07/01/2016,LOVE YOURSELF,JUSTIN BIEBER,3,2016
21/01/2016,STITCHES,SHAWN MENDES,2,2016
11/02/2016,PILLOWTALK,ZAYN,1,2016
18/02/2016,7 YEARS,LUKAS GRAHAM,5,2016
17/03/2016,I TOOK A PILL IN IBIZA,MIKE POSNER,4,2016
21/04/2016,ONE DANCE,DRAKE FT. WIZKID & KYLA,15,2016
04/08/2016,COLD WATER,MAJOR LAZER FT. JUSTIN BIEBER & MØ,5,2016
08/09/2016,CLOSER,THE CHAINSMOKERS FT. HALSEY,4,2016
06/10/2016,SAY YOU WON'T LET GO,JAMES ARTHUR,3,2016
27/10/2016,SHOUT OUT TO MY EX,LITTLE MIX,3,2016
17/11/2016,ROCKABYE,CLEAN BANDIT ,9,2016
19/01/2017,SHAPE OF YOU,ED SHEERAN,13,2017
20/04/2017,SIGN OF THE TIMES,HARRY STYLES,1,2017
27/04/2017,SHAPE OF YOU,ED SHEERAN,1,2017
04/05/2017,SYMPHONY,CLEAN BANDIT FT. ZARA LARSSON,1,2017
11/05/2017,I'M THE ONE,"DJ KHALED FT. JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER & LIL WAYNE",1,2017
18/05/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,6,2017
29/06/2017,BRIDGE OVER TROUBLED WATER,ARTISTS FOR GRENFELL,1,2017
06/07/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,3,2017
27/07/2017,WILD THOUGHTS,DJ KHALED FT. RIHANNA & BRYSON TILLER,1,2017
03/08/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,2,2017
17/08/2017,FEELS,"CALVIN HARRIS FT. PHARRELL, KATY PERRY & BIG SEAN",1,2017
24/08/2017,NEW RULES,DUA LIPA,2,2017
07/09/2017,LOOK WHAT YOU MADE ME DO,TAYLOR SWIFT,2,2017
21/09/2017,TOO GOOD AT GOODBYES,SAM SMITH,3,2017
12/10/2017,ROCKSTAR,POST MALONE FT. 21 SAVAGE,4,2017
09/11/2017,HAVANA,CAMILA CABELLO FT. YOUNG THUG,5,2017
14/12/2017,PERFECT,ED SHEERAN,6,2017
25/01/2018,RIVER,EMINEM FT. ED SHEERAN,1,2018
01/02/2018,GOD'S PLAN,DRAKE,9,2018
05/04/2018,THESE DAYS,"RUDIMENTAL FT. JESS GLYNNE, MACKLEMORE & DAN CAPLEN",1,2018
12/04/2018,FREAKY FRIDAY,LIL DICKY FT. CHRIS BROWN,1,2018
19/04/2018,NICE FOR WHAT,DRAKE,1,2018
26/04/2018,ONE KISS,CALVIN HARRIS & DUA LIPA,8,2018
21/06/2018,I'LL BE THERE,JESS GLYNNE,1,2018
28/06/2018,SOLO,CLEAN BANDIT FT. DEMI LOVATO,1,2018
05/07/2018,SHOTGUN,GEORGE EZRA,2,2018
19/07/2018,3 LIONS,BADDIEL/SKINNER/LIGHTNING SEEDS,1,2018
26/07/2018,IN MY FEELINGS,DRAKE,4,2018
23/08/2018,SHOTGUN,GEORGE EZRA,2,2018
